#name	zcmb	mb	dmb
19616	0.16514	20.09405	0.10665
19658	0.1984	20.6407	0.1317
19702	0.26828	21.39935	0.16265
19757	0.40078	22.165	0.1348
19940	0.14566	19.6731	0.12755
19968	0.05573	17.56165	0.10915
19992	0.22425	21.16495	0.15345
20040	0.28622	21.42305	0.15585
20048	0.18365	20.55265	0.14145
20064	0.1036	18.96075	0.10555
20106	0.33096	22.03	0.19055
20144	0.2184	20.76195	0.1415
20345	0.26327	21.035	0.1514
20430	0.16267	20.2483	0.1303
20625	0.10689	19.2184	0.10455
20764	0.16503	20.0849	0.11585
21034	0.10757	19.24475	0.10865
22075	0.12913	19.5083	0.1143
2001ah	0.05948	17.71775	0.12625
2001az	0.04093	17.0528	0.11665
2001da	0.01705	14.85645	0.1832
2001en	0.01531	14.59755	0.1613
2001fe	0.01472	14.6158	0.14905
2001gb	0.02673	15.97105	0.16165
2001G	0.01732	14.8718	0.1587
2001ic	0.04437	16.72085	0.19805
2001V	0.01567	14.4307	0.15405
2002bf	0.02477	15.6593	0.1718
2002bz	0.038	16.7664	0.13185
2002ck	0.0299	16.2413	0.123
2002cr	0.01012	13.90745	0.19825
2002de	0.0258	16.1648	0.1376
2002dp	0.01038	14.0496	0.2048
2002eu	0.03791	16.5851	0.2001
2002G	0.03507	16.45115	0.16785
2002ha	0.01268	14.4486	0.171
2002he	0.02525	15.82815	0.13295
2002kf	0.01908	15.3534	0.14115
2003ae	0.03489	16.36835	0.1667
2003ch	0.0295	16.3438	0.12735
2003cq	0.03416	16.57565	0.1563
2003fa	0.04067	16.7928	0.1127
2003hu	0.07515	17.8882	0.1248
2003ic	0.05581	17.23215	0.12285
2003it	0.02529	15.7896	0.1405
2003iv	0.03501	16.6581	0.12485
2003U	0.02846	16.0051	0.13405
2004as	0.0328	16.64085	0.12525
2004L	0.03378	16.38795	0.1403
2005hc	0.04597	17.2822	0.1025
2005hf	0.04341	16.93145	0.1209
2005hj	0.05684	17.73355	0.1203
2005ki	0.02024	15.2868	0.12735
2005lu	0.03191	16.59205	0.12775
2005lz	0.0415	16.9967	0.1259
2005mc	0.02639	15.93305	0.1399
2005ms	0.02651	16.06745	0.1248
2005na	0.02689	15.87545	0.126
2006ac	0.02349	15.6236	0.1338
2006ah	0.05067	17.57225	0.158
2006ak	0.04093	16.7302	0.1297
2006al	0.06877	18.16815	0.11055
2006ax	0.01754	14.9841	0.1341
2006bb	0.02557	15.8607	0.1496
2006bq	0.02189	15.53085	0.1381
2006bw	0.03155	16.1279	0.14115
2006cj	0.06845	18.31035	0.1248
2006cp	0.02249	15.56975	0.1391
2006cq	0.04949	17.32405	0.12545
2006en	0.03161	16.3736	0.12625
2006gr	0.03434	16.61295	0.1249
2006gt	0.04486	17.2055	0.14795
2006hb	0.01531	14.74935	0.1526
2006is	0.03048	16.25295	0.1342
2006je	0.03837	16.9021	0.16555
2006mo	0.03682	16.77055	0.12655
2006mp	0.0221	15.7795	0.13695
2006N	0.01402	14.64805	0.16195
2006oa	0.0589	17.792	0.11395
2006ob	0.05895	17.7707	0.10045
2006on	0.06888	18.1778	0.15105
2006or	0.0204	15.7067	0.156
2006qo	0.02894	16.02685	0.1316
2006sr	0.02384	15.7013	0.1335
2006td	0.01451	14.89705	0.16765
2006te	0.03292	16.452	0.1185
2007ae	0.06455	17.78945	0.1136
2007ap	0.01663	15.01385	0.15025
2007ar	0.05359	17.4687	0.1439
2007bd	0.03163	16.21965	0.11945
2007co	0.02751	15.9978	0.1291
2007cq	0.02559	15.5514	0.1259
2007F	0.02401	15.78645	0.12635
2007O	0.03713	16.56045	0.1177
2008af	0.03408	16.39975	0.12455
2008bf	0.02454	15.6001	0.1278
2008L	0.01697	14.91335	0.1531
2007A	0.01629	15.17685	0.15115
2007aj	0.03184	16.34225	0.12125
2007cb	0.037	16.74885	0.12725
2007cc	0.02932	15.8648	0.1457
2007fb	0.0174	15.26595	0.1485
2007hu	0.03578	16.59205	0.1761
2007is	0.02845	16.04785	0.1364
2007kh	0.05035	17.2903	0.16335
2007kk	0.04269	16.93325	0.117
2007ob	0.03212	16.23615	0.1431
2007su	0.02752	16.0669	0.14255
2007ux	0.03049	16.28725	0.1419
2008C	0.01724	14.9294	0.1556
2008Y	0.07063	18.05925	0.1229
2008ac	0.05344	17.62205	0.1398
2008ar	0.02878	16.10835	0.12155
2008at	0.03518	16.42245	0.15235
2008bw	0.03348	16.4802	0.15235
2008by	0.04651	17.18185	0.11625
2008bz	0.06119	17.9246	0.11905
2008cf	0.04714	17.16275	0.12315
2008ds	0.0212	15.4466	0.1437
2008fr	0.04028	16.8206	0.11335
2008gb	0.03863	16.86145	0.1275
2008gl	0.03314	16.39225	0.12215
2009D	0.02414	15.68035	0.1291
2009ad	0.02837	16.1044	0.12155
2009an	0.01043	13.9248	0.20035
2009ds	0.02038	15.42955	0.14185
2008050	0.0471	16.9842	0.14465
2008051	0.03984	16.7074	0.1146
2009kk	0.0122	14.4566	0.1737
2009kq	0.01271	14.2811	0.1749
2009le	0.01763	14.9354	0.1562
2009na	0.02171	15.502	0.13615
